GeneIndex GeneName #SNPs run_time Theta Pleiotropic_Effect_based_on_CI Pleiotropic_Effect_based_on_Median gene snp_number chr start end gene_type gene_length snp_number_gene_length_ratio
5 AC026407.1 1 2.63399999999996 0.220187613718436 No No AC026407.1 1 5 157160003 157161727 protein_coding 1724 0.000580046403712297
2 ABHD14A-ACY1 1 3.339 0.663527347687235 No No ABHD14A-ACY1 1 3 52008722 52023199 protein_coding 14477 6.90750846169787e-05
1 ABHD14A 1 3.65800000000002 0.659746492773074 No No ABHD14A 1 3 52005442 52015215 protein_coding 9773 0.000102322725877417
3 ABHD14B 1 3.721 0.706816965961524 No No ABHD14B 1 3 52002526 52017425 protein_coding 14899 6.7118598563662e-05
7 AC138517.1 1 2.09800000000001 0.225414070496908 No No AC138517.1 1 5 138852108 138852506 protein_coding 398 0.00251256281407035
9 ADAMTSL5 1 2.04300000000001 0.513665144271156 No No ADAMTSL5 1 19 1505021 1513603 protein_coding 8582 0.000116522955022139
11 AGPAT2 1 2.29499999999996 0.200010207092398 No No AGPAT2 1 9 139567595 139581909 protein_coding 14314 6.98616738857063e-05
10 ADM 1 2.59700000000004 0.428465789550529 No No ADM 1 11 10326620 10328944 protein_coding 2324 0.000430292598967298
12 AJM1 1 2.23499999999996 0.280400481305493 No No AJM1 1 9 139738867 139743253 protein_coding 4386 0.000227998176014592
14 AL355149.2 1 2.178 0.191736855060735 No No AL355149.2 1 1 16865561 16866070 protein_coding 509 0.00196463654223969
16 AL645730.2 1 2.10200000000003 0.303018982674152 No No AL645730.2 1 1 50459990 50461874 protein_coding 1884 0.000530785562632696
15 AL591806.1 1 2.52100000000002 0.319179987095465 No No AL591806.1 1 1 161035655 161035943 protein_coding 288 0.00347222222222222
19 ALKBH6 1 2.25999999999999 0.146865875330746 No No ALKBH6 1 19 36500022 36505141 protein_coding 5119 0.000195350654424692
18 ALDOC 1 2.33599999999996 0.385964234213277 No No ALDOC 1 17 26900133 26903966 protein_coding 3833 0.00026089225150013
20 AMER3 1 2.32999999999998 0.530100267795278 No No AMER3 1 2 131513113 131525707 protein_coding 12594 7.94028902652057e-05
21 AMIGO3 1 2.49399999999997 0.770774154572554 No No AMIGO3 1 3 49754262 49757117 protein_coding 2855 0.000350262697022767
23 ANGPTL3 1 2.404 0.147307290691161 No No ANGPTL3 1 1 63063191 63071984 protein_coding 8793 0.000113726828158763
22 AMY2A 1 2.81199999999995 0.433667787550091 No No AMY2A 1 1 104160049 104168402 protein_coding 8353 0.000119717466778403
25 AOC2 1 2.214 0.250567071448788 No No AOC2 1 17 40996597 41002724 protein_coding 6127 0.000163212012404113
26 AP001362.1 1 2.12 0.174569668276683 No No AP001362.1 1 11 65358665 65359947 protein_coding 1282 0.00078003120124805
24 ANKRD18A 1 2.57900000000001 0.251992873659413 No No ANKRD18A 1 9 38571355 38620593 protein_coding 49238 2.03095170396848e-05
27 AP001421.1 1 1.99700000000001 0.157211340250136 No No AP001421.1 1 21 38888740 38888973 protein_coding 233 0.00429184549356223
28 APCS 1 2.47200000000004 0.338176670621852 No No APCS 1 1 159557616 159558655 protein_coding 1039 0.000962463907603465
29 APOA2 1 2.267 0.228947264384618 No No APOA2 1 1 161192082 161193421 protein_coding 1339 0.000746825989544436
30 APOF 1 2.20100000000002 0.295910413759638 No No APOF 1 12 56754352 56756641 protein_coding 2289 0.000436871996505024
32 AQP5 1 2.11099999999999 0.191692507035253 No No AQP5 1 12 50355655 50359465 protein_coding 3810 0.00026246719160105
31 AQP12B 1 2.17400000000004 0.20514408502524 No No AQP12B 1 2 241615835 241622323 protein_coding 6488 0.000154130702836005
33 ARL14 1 2.02299999999997 0.214113463384416 No No ARL14 1 3 160394948 160396236 protein_coding 1288 0.00077639751552795
35 ARL6IP4 1 2.31700000000001 0.180605465288658 No No ARL6IP4 1 12 123464607 123467460 protein_coding 2853 0.000350508236943568
36 ARMH2 1 2.20499999999998 0.301244037017696 No No ARMH2 1 6 24797563 24799145 protein_coding 1582 0.000632111251580278
38 B3GALT6 1 2.12599999999998 0.207827706018086 No No B3GALT6 1 1 1167617 1170421 protein_coding 2804 0.000356633380884451
34 ARL17A 1 2.96699999999998 0.987928470349139 No No ARL17A 1 17 44594068 44657057 protein_coding 62989 1.58757878359714e-05
37 ASCL2 1 2.53199999999998 0.269147109079241 No No ASCL2 1 11 2289728 2291818 protein_coding 2090 0.000478468899521531
39 B4GAT1 1 2.053 0.28565441979553 No No B4GAT1 1 11 66112845 66115100 protein_coding 2255 0.000443458980044346
40 BAP1 1 2.33799999999997 0.290627885940351 No No BAP1 1 3 52435024 52444024 protein_coding 9000 0.000111111111111111
41 BCAM 1 2.34300000000002 0.370054118502768 No No BCAM 1 19 45312328 45324678 protein_coding 12350 8.09716599190283e-05
45 BHLHA9 1 2.03300000000002 0.172235837987157 No No BHLHA9 1 17 1173738 1175109 protein_coding 1371 0.000729394602479942
44 BEST4 1 2.58499999999998 0.362585623479128 No No BEST4 1 1 45249257 45253842 protein_coding 4585 0.000218102508178844
42 BECN1 1 3.142 0.998315188982766 No No BECN1 1 17 40962152 40985367 protein_coding 23215 4.30755976739177e-05
46 BHLHE41 1 2.40100000000001 0.190602570892569 No No BHLHE41 1 12 26272963 26277970 protein_coding 5007 0.000199720391451967
47 BIRC2 1 2.44799999999998 0.337659656525806 No No BIRC2 1 11 102217942 102249401 protein_coding 31459 3.17874058298102e-05
48 BORCS6 1 2.37700000000001 0.184173112887192 No No BORCS6 1 17 8091663 8093498 protein_coding 1835 0.000544959128065395
49 BRICD5 1 2.18900000000002 0.201258289347968 No No BRICD5 1 16 2259254 2260906 protein_coding 1652 0.000605326876513317
51 C11orf98 1 2.17400000000004 0.175910173999912 No No C11orf98 1 11 62430289 62432682 protein_coding 2393 0.000417885499373172
52 C14orf28 1 2.25999999999999 0.300788162904541 No No C14orf28 1 14 45366478 45376460 protein_coding 9982 0.000100180324584252
50 C11orf86 1 3.08499999999998 0.851821485374487 No No C11orf86 1 11 66742748 66744480 protein_coding 1732 0.000577367205542725
54 C17orf50 1 2.18599999999998 0.228349639605955 No No C17orf50 1 17 34087906 34092098 protein_coding 4192 0.000238549618320611
55 C19orf73 1 2.483 0.672364658260511 No No C19orf73 1 19 49621659 49622400 protein_coding 741 0.00134952766531714
53 C15orf62 1 3.09300000000002 0.831063798596753 No No C15orf62 1 15 41062178 41064647 protein_coding 2469 0.000405022276225192
56 C1orf122 1 2.30099999999999 0.168497093622928 No No C1orf122 1 1 38272651 38275126 protein_coding 2475 0.000404040404040404
57 C4A 1 2.35199999999998 0.55109929566273 No No C4A 1 6 31949834 31970458 protein_coding 20624 4.84871993793638e-05
58 C4orf46 1 2.48700000000002 0.324473026008245 No No C4orf46 1 4 159587827 159593407 protein_coding 5580 0.00017921146953405
59 C5AR2 1 2.06100000000004 0.217181446948562 No No C5AR2 1 19 47835432 47850586 protein_coding 15154 6.59891777748449e-05
61 C8orf82 1 2.36200000000002 0.400977524451327 No No C8orf82 1 8 145751117 145754516 protein_coding 3399 0.000294204177699323
63 CALHM2 1 1.96699999999998 0.177776372328138 No No CALHM2 1 10 105206543 105212159 protein_coding 5616 0.000178062678062678
60 C6orf52 1 2.71100000000001 0.553060750672993 No No C6orf52 1 6 10671651 10695030 protein_coding 23379 4.27734291458146e-05
62 CACNB1 1 2.63100000000003 0.594035462951501 No No CACNB1 1 17 37329706 37353956 protein_coding 24250 4.12371134020619e-05
64 CAMK2N1 1 2.50300000000004 0.239201774205338 No No CAMK2N1 1 1 20808884 20812703 protein_coding 3819 0.000261848651479445
65 CAPN15 1 2.34900000000005 0.266685806420753 No No CAPN15 1 16 577712 604636 protein_coding 26924 3.71415837171297e-05
68 CCDC115 1 1.976 0.183152225893912 No No CCDC115 1 2 131095506 131100272 protein_coding 4766 0.000209819555182543
66 CAPNS2 1 2.29599999999999 0.268902757982832 No No CAPNS2 1 16 55600596 55601599 protein_coding 1003 0.000997008973080758
67 CAPZA3 1 2.24099999999999 0.323413161069525 No No CAPZA3 1 12 18891053 18892122 protein_coding 1069 0.000935453695042095
69 CCDC185 1 2.14299999999997 0.188468979618293 No No CCDC185 1 1 223566757 223568807 protein_coding 2050 0.00048780487804878
71 CCDC8 1 2.12400000000002 0.177501891134583 No No CCDC8 1 19 46913586 46916821 protein_coding 3235 0.000309119010819165
70 CCDC28B 1 2.43200000000002 0.289083246383223 No No CCDC28B 1 1 32666196 32671054 protein_coding 4858 0.000205846027171676
